ptcut,etcut,mode,order,mlow,mhigh,sigma_fb,unc_stat_fb,unc_lumi_fb,N_selected,N_background,eff,delta_df,delta_ss,data_n_total,data_n_after_mass,data_n_after_iso,data_n_after_mass_and_iso
3,4,df+ss,iso -> df -> ss,66,116,2237848.544207717,469.37712944132124,38043.42525153119,22930056.913304675,66627.3121547581,0.279144837795553,14345.158714037272,872.0866953261927,26363258,24783058,24347376,22930929
3,5,none,iso -> df -> ss,66,116,2239476.731832756,464.08608461495163,38071.10444115686,23490787.0,68507.88367205273,0.2857600493114779,,,26363258,24783058,24941742,23490787
3,5,df,iso -> df -> ss,66,116,2238061.3527669488,463.7927760399798,38047.04299703813,23490787.0,68507.88367205273,0.2859407676779067,14692.327288942644,,26363258,24783058,24941742,23490787
3,5,ss,iso -> df -> ss,66,116,2239386.9590426646,464.07683682599014,38069.5783037253,23489848.082744606,68507.88367205273,0.2857600493114779,,938.9172553941087,26363258,24783058,24941742,23490787
3,5,df+ss,iso -> df -> ss,66,116,2237971.6367144543,463.7835340957439,38045.517824145725,23489848.082744606,68507.88367205273,0.2859407676779067,14692.327288942644,938.9172553941087,26363258,24783058,24941742,23490787
3,6,none,iso -> df -> ss,66,116,2239352.064571318,461.3239221284658,38068.985097712415,23770827.0,69505.6999366103,0.28918056028190986,,,26363258,24783058,25239114,23770827
3,6,df,iso -> df -> ss,66,116,2237932.9168893406,461.0315666810633,38044.85958711879,23770827.0,69505.6999366103,0.28936393929148607,14908.636459361602,,26363258,24783058,25239114,23770827
3,6,ss,iso -> df -> ss,66,116,2239257.9188826513,461.3142812008302,38067.384621005076,23769830.561230313,69505.6999366103,0.28918056028190986,,996.4387696863682,26363258,24783058,25239114,23770827
3,6,df+ss,iso -> df -> ss,66,116,2237838.830863751,461.021931863186,38043.26012468377,23769830.561230313,69505.6999366103,0.28936393929148607,14908.636459361602,996.4387696863682,26363258,24783058,25239114,23770827
3,7,none,iso -> df -> ss,66,116,2239548.154664518,459.8930064069113,38072.31862929681,23923263.0,69983.10951077797,0.29100912940814366,,,26363258,24783058,25401108,23923263
3,7,df,iso -> df -> ss,66,116,2238122.6232747613,459.60027239483077,38048.084595670945,23923263.0,69983.10951077797,0.29119448236618223,15069.117640290817,,26363258,24783058,25401108,23923263
3,7,ss,iso -> df -> ss,66,116,2239451.2477401155,459.88311438702027,38070.67121158197,23922230.850730833,69983.10951077797,0.29100912940814366,,1032.149269168346,26363258,24783058,25401108,23923263
3,7,df+ss,iso -> df -> ss,66,116,2238025.7780341688,459.5903866714709,38046.438226580874,23922230.850730833,69983.10951077797,0.29119448236618223,15069.117640290817,1032.149269168346,26363258,24783058,25401108,23923263
3,8,none,iso -> df -> ss,66,116,2239980.0841513555,459.1180146392389,38079.66143057305,24013417.0,70267.10789484666,0.2920492141471015,,,26363258,24783058,25497167,24013417
3,8,df,iso -> df -> ss,66,116,2238543.0566598345,458.8234739807941,38055.231963217186,24013417.0,70267.10789484666,0.29223669445861833,15242.070584586894,,26363258,24783058,25497167,24013417
3,8,ss,iso -> df -> ss,66,116,2239881.0372656086,459.10792317603244,38077.97763351535,24012358.28771565,70267.10789484666,0.2920492141471015,,1058.7122843496554,26363258,24783058,25497167,24013417
3,8,df+ss,iso -> df -> ss,66,116,2238444.073316214,458.81338899162296,38053.549246375645,24012358.28771565,70267.10789484666,0.29223669445861833,15242.070584586894,1058.7122843496554,26363258,24783058,25497167,24013417
